jd,RA,Decl,magsky
2456223.59,28.65720833,0.71680556,20.6377390429
2456223.59,28.77175,0.76180556,20.6544913164
2456236.64,28.65720833,0.71680556,22.4166364395
2456236.64,28.77175,0.76180556,22.5934200718
2455869.69,44.44575,0.26741667,21.0074540453
2455882.77,44.3385,0.31080556,20.7435778499
2455882.77,44.44575,0.26741667,20.7734246077
2455890.74,44.3385,0.31080556,22.3318533631
2455890.74,44.44575,0.26741667,22.3538325592
2455891.68,44.3385,0.31080556,22.5050351816
2455891.68,44.44575,0.26741667,22.648925856
2455943.62,44.3385,0.31080556,22.3132369668
2455943.62,44.44575,0.26741667,22.3756926835
2455944.63,44.3385,0.31080556,22.4627646288
2455944.63,44.44575,0.26741667,22.5751351765
2456221.73,44.3385,0.31080556,22.3893995729
2456221.73,44.44575,0.26741667,22.6024145634
2456232.6,44.3385,0.31080556,19.0120309751
2456232.6,44.44575,0.26741667,19.0117979486
2456233.57,44.3385,0.31080556,21.6626688892
2456233.57,44.44575,0.26741667,21.7282374654
2456236.59,44.3385,0.31080556,22.3888666964
2456236.59,44.44575,0.26741667,22.4893366984
2455865.68,58.23958333,-0.00533333,22.9915204084
2455865.68,58.25095833,0.047,22.9566809968
2455865.68,58.25325,0.00441667,22.7779449351
2455865.68,58.26725,0.04727778,22.9453119381
2455865.68,58.28158333,0.01972222,23.0275149973
2455902.7,58.23958333,-0.00533333,19.3621270069
2455902.7,58.25095833,0.047,19.3660935801
2455902.7,58.25325,0.00441667,19.3696316204
2455902.7,58.26725,0.04727778,19.3638881768
2455902.7,58.28158333,0.01972222,19.3731812277
2456221.63,58.22575,0.00525,21.0374997638
2456221.63,58.23958333,-0.00533333,21.2363395976
2456221.63,58.25095833,0.047,21.2742494146
2456221.63,58.25325,0.00441667,21.2770085906
2456221.63,58.26725,0.04727778,21.3135310071
2456221.63,58.28158333,0.01972222,21.3632233882
2456231.61,58.22575,0.00525,18.3333945823
2456231.61,58.23958333,-0.00533333,18.3507339221
2456231.61,58.25095833,0.047,18.3563868337
2456231.61,58.25325,0.00441667,18.3482934116
2456231.61,58.26725,0.04727778,18.3550651884
2456231.61,58.28158333,0.01972222,18.3571428031
2455894.69,58.33579167,0.27630556,22.6237910714
2455915.65,58.30516667,0.273,22.5872704579
2455915.65,58.33579167,0.27630556,22.6314320883
2455916.64,58.30516667,0.273,22.6394329047
2455916.64,58.33579167,0.27630556,22.7073778867
2455917.6,58.30516667,0.273,22.7436708366
2455917.6,58.33579167,0.27630556,22.8059843236
2455931.66,58.30516667,0.273,18.9704548717
2455931.66,58.33579167,0.27630556,18.9751217864
2455932.59,58.30516667,0.273,19.0539337037
2455932.59,58.33579167,0.27630556,19.0588566113
2455933.63,58.30516667,0.273,18.8628046333
2455933.63,58.33579167,0.27630556,18.8695205045
2455934.65,58.30516667,0.273,18.7920464487
2455934.65,58.33579167,0.27630556,18.7941919338
2456223.71,58.30516667,0.273,21.0263119148
2456223.71,58.33579167,0.27630556,21.0496349241
2456231.61,58.30516667,0.273,18.2875406794
2456231.61,58.33579167,0.27630556,18.2898643936
2456233.6,58.30516667,0.273,19.5421705073
2456233.6,58.33579167,0.27630556,19.5478921924
2455915.61,58.35683333,0.03891667,22.7510291332
2455934.57,58.35683333,0.03891667,18.9949543746
2455933.65,58.35683333,0.03891667,18.8494962445
2455878.74,58.708125,0.16905556,19.0911481064
2455878.74,58.71533333,0.08930556,19.0837429648
2455878.74,58.7655,0.05736111,19.0968189451
2455878.74,58.76945833,0.05216667,19.0962616374
2455879.73,58.708125,0.16905556,19.6374443392
2455879.73,58.71533333,0.08930556,19.6358128767
2455879.73,58.7655,0.05736111,19.6450903671
2455879.73,58.76945833,0.05216667,19.6458213963
2456230.62,58.708125,0.16905556,17.9316721074
2456230.62,58.71533333,0.08930556,17.9329097907
2456230.62,58.7655,0.05736111,17.9376171406
2456230.62,58.76945833,0.05216667,17.9376600707
2455895.72,58.93491667,0.11763889,22.5084064956
2455895.72,59.05558333,0.14638889,22.6358031835
2455896.72,58.93491667,0.11763889,22.4861894208
2455896.72,59.05558333,0.14638889,22.5775483536
2455992.57,58.93491667,0.11763889,18.9890655606
2455992.57,59.05558333,0.14638889,18.9852019691
2456233.71,58.93491667,0.11763889,19.2898281422
2456233.71,59.05558333,0.14638889,19.321052836
2455878.79,72.92666667,-0.16927778,18.9968846549
2455889.66,72.92666667,-0.16927778,22.2847764109
2455895.69,72.92666667,-0.16927778,22.3424624856
2455896.69,72.92666667,-0.16927778,22.2666245158
2455904.69,72.92666667,-0.16927778,18.6161947379
2455969.65,72.92666667,-0.16927778,19.8675830711
2456230.77,72.92666667,-0.16927778,18.51118837
2455867.81,73.24525,-0.24480556,22.5518791294
2455868.72,73.24525,-0.24480556,21.8147750519
2455871.84,73.24525,-0.24480556,22.5950973277
2455872.78,73.24525,-0.24480556,20.4873106072
2455879.75,73.24525,-0.24480556,19.5218663298
2455882.76,73.24525,-0.24480556,20.8716474846
2455883.79,73.24525,-0.24480556,21.1996374111
2455889.67,73.24525,-0.24480556,22.5271894948
2455894.74,73.24525,-0.24480556,22.587412055
2455948.67,73.24525,-0.24480556,22.6387734671
2455949.67,73.24525,-0.24480556,22.9535198765
2455962.68,73.24525,-0.24480556,18.8745738298
2455971.64,73.24525,-0.24480556,22.4628782233
2455992.52,73.24525,-0.24480556,19.429630262
2455998.59,73.24525,-0.24480556,19.949908103
2456008.55,73.24525,-0.24480556,22.4828920686
2456222.81,73.24525,-0.24480556,22.5780216592
2456223.74,73.24525,-0.24480556,21.6153438001
2456230.81,73.24525,-0.24480556,18.5905396236
2456232.79,73.24525,-0.24480556,18.9825492697
2456234.8,73.24525,-0.24480556,19.6298971747
2455865.86,102.970875,-0.36694444,22.5173761127
2455865.86,103.00783333,-0.45597222,22.000311413
2455865.86,103.01404167,-0.45508333,22.1139560714
2455865.86,103.02004167,-0.36541667,22.4541115081
2455865.86,103.04141667,-0.39219444,22.596168733
2455865.86,103.078625,-0.39241667,23.001926202
2455869.86,102.970875,-0.36694444,22.150528838
2455869.86,103.00783333,-0.45597222,21.7874921316
2455869.86,103.01404167,-0.45508333,21.8461948863
2455869.86,103.02004167,-0.36541667,22.1747469829
2455869.86,103.04141667,-0.39219444,22.2596133249
2455869.86,103.078625,-0.39241667,22.3232311785
2455871.81,102.970875,-0.36694444,22.5362880127
2455871.81,103.00783333,-0.45597222,22.0851478621
2455871.81,103.01404167,-0.45508333,22.183574588
2455871.81,103.02004167,-0.36541667,22.5038756006
2455871.81,103.04141667,-0.39219444,22.6159064216
2455871.81,103.078625,-0.39241667,22.9765161277
2455872.81,102.970875,-0.36694444,21.4299695085
2455872.81,102.995875,-0.35877778,21.4955433535
2455872.81,103.00783333,-0.45597222,21.2013014184
2455872.81,103.01404167,-0.45508333,21.2406677312
2455872.81,103.02004167,-0.36541667,21.4181034323
2455872.81,103.04141667,-0.39219444,21.4581720071
2455872.81,103.078625,-0.39241667,21.4997762447
2455878.77,102.970875,-0.36694444,19.1703274617
2455878.77,102.995875,-0.35877778,19.1657750942
2455878.77,103.00783333,-0.45597222,19.1502392813
2455878.77,103.01404167,-0.45508333,19.1592330213
2455878.77,103.02004167,-0.36541667,19.1677960554
2455878.77,103.04141667,-0.39219444,19.1810245073
2455878.77,103.078625,-0.39241667,19.1964910576
2455889.69,103.00783333,-0.45597222,22.1323282728
2455889.69,103.01404167,-0.45508333,22.2631009963
2455889.69,103.04141667,-0.39219444,22.6691298826
2455889.69,103.078625,-0.39241667,22.6946778475
2455890.76,102.970875,-0.36694444,22.4228165244
2455890.76,103.00783333,-0.45597222,21.880325968
2455890.76,103.01404167,-0.45508333,21.9238856561
2455890.76,103.02004167,-0.36541667,22.4028942199
2455890.76,103.04141667,-0.39219444,22.5394465886
2455890.76,103.078625,-0.39241667,22.5851685766
2455899.85,102.970875,-0.36694444,21.652234792
2455899.85,103.00783333,-0.45597222,21.5210382747
2455899.85,103.01404167,-0.45508333,21.5569336144
2455899.85,103.02004167,-0.36541667,21.7403859209
2455899.85,103.04141667,-0.39219444,21.8422483095
2455899.85,103.078625,-0.39241667,21.8970029326
2455900.83,102.970875,-0.36694444,22.6976808292
2455900.83,103.00783333,-0.45597222,22.2618218171
2455900.83,103.01404167,-0.45508333,22.3156710683
2455900.83,103.02004167,-0.36541667,22.9630926865
2455900.83,103.04141667,-0.39219444,23.0143968062
2455900.83,103.078625,-0.39241667,23.386744353
2455910.8,103.00783333,-0.45597222,19.8014935116
2455910.8,103.01404167,-0.45508333,19.8080426257
2455910.8,103.04141667,-0.39219444,19.8758021457
2455910.8,103.078625,-0.39241667,19.9000428214
2455945.74,102.970875,-0.36694444,22.568828768
2455945.74,103.00783333,-0.45597222,22.027056042
2455945.74,103.01404167,-0.45508333,22.0746140897
2455945.74,103.02004167,-0.36541667,22.6761493267
2455945.74,103.04141667,-0.39219444,22.8940247473
2455945.74,103.078625,-0.39241667,23.3604164804
2455964.71,102.970875,-0.36694444,17.9376727281
2455964.71,103.00783333,-0.45597222,17.940429996
2455964.71,103.01404167,-0.45508333,17.9420877522
2455964.71,103.02004167,-0.36541667,17.9424564943
2455964.71,103.04141667,-0.39219444,17.9493008032
2455964.71,103.078625,-0.39241667,17.9528322347
2455969.69,102.970875,-0.36694444,20.1338314358
2455969.69,103.00783333,-0.45597222,20.0625872074
2455969.69,103.01404167,-0.45508333,20.05450471
2455969.69,103.02004167,-0.36541667,20.1396220371
2455969.69,103.04141667,-0.39219444,20.1705400102
2455969.69,103.078625,-0.39241667,20.1586577009
2455970.67,102.970875,-0.36694444,20.7491809682
2455970.67,103.00783333,-0.45597222,20.5915516444
2455970.67,103.01404167,-0.45508333,20.5811217817
2455970.67,103.02004167,-0.36541667,20.6994438878
2455970.67,103.04141667,-0.39219444,20.697131407
2455970.67,103.078625,-0.39241667,20.6902231516
2455971.67,102.970875,-0.36694444,21.343039009
2455971.67,103.00783333,-0.45597222,21.1505010592
2455971.67,103.01404167,-0.45508333,21.2026264397
2455971.67,103.02004167,-0.36541667,21.4141917216
2455971.67,103.04141667,-0.39219444,21.388543241
2455971.67,103.078625,-0.39241667,21.458333376
2455972.72,102.970875,-0.36694444,21.2046714313
2455972.72,103.00783333,-0.45597222,21.1070519734
2455972.72,103.01404167,-0.45508333,21.1244799615
2455972.72,103.02004167,-0.36541667,21.3077749052
2455972.72,103.04141667,-0.39219444,21.2871720032
2455972.72,103.078625,-0.39241667,21.3632469194
2455973.7,102.970875,-0.36694444,22.9229424638
2455973.7,103.00783333,-0.45597222,22.4529662197
2455973.7,103.01404167,-0.45508333,22.4529662197
2455973.7,103.02004167,-0.36541667,23.5886122029
2455973.7,103.04141667,-0.39219444,25.6208955789
2455985.68,103.00783333,-0.45597222,22.15186688
2455985.68,103.01404167,-0.45508333,22.1099412949
2455985.68,103.04141667,-0.39219444,22.930396934
2455985.68,103.078625,-0.39241667,23.2544815672
2456018.56,103.00783333,-0.45597222,19.9317697914
2456018.56,103.01404167,-0.45508333,19.9500178415
2456018.56,103.04141667,-0.39219444,20.0066778992
2456018.56,103.078625,-0.39241667,19.9938287507
2456019.62,102.970875,-0.36694444,19.5057218445
2456019.62,103.00783333,-0.45597222,19.4889787148
2456019.62,103.01404167,-0.45508333,19.4933216268
2456019.62,103.02004167,-0.36541667,19.5093960962
2456019.62,103.04141667,-0.39219444,19.5108693137
2456019.62,103.078625,-0.39241667,19.5242186495
2456221.8,102.970875,-0.36694444,22.7512302623
2456221.8,103.00783333,-0.45597222,22.2089114867
2456221.8,103.01404167,-0.45508333,22.2758943648
2456221.8,103.02004167,-0.36541667,22.9339979321
2456221.8,103.04141667,-0.39219444,22.736044817
2456221.8,103.078625,-0.39241667,23.6509718583
2456223.74,102.970875,-0.36694444,21.4168478699
2456223.74,102.995875,-0.35877778,21.4725389134
2456223.74,103.00783333,-0.45597222,21.313366157
2456223.74,103.01404167,-0.45508333,21.3552917421
2456223.74,103.02004167,-0.36541667,21.4630564498
2456223.74,103.04141667,-0.39219444,21.5162657019
2456223.74,103.078625,-0.39241667,21.5566699331
2456231.78,102.970875,-0.36694444,19.0089224722
2456231.78,103.00783333,-0.45597222,18.9889911425
2456231.78,103.01404167,-0.45508333,18.9904372173
2456231.78,103.02004167,-0.36541667,19.0128545189
2456231.78,103.04141667,-0.39219444,19.0327312332
2456231.78,103.078625,-0.39241667,19.0342366996
2455889.72,103.00783333,-0.45597222,22.2984125688
2455889.72,103.01404167,-0.45508333,22.2718218075
2455889.72,103.04141667,-0.39219444,22.7076808197
2455883.81,133.141875,-0.6635,20.1614205803
2455905.75,133.141875,-0.6635,18.6938345393
2455910.81,133.141875,-0.6635,19.2792533545
2455943.86,133.141875,-0.6635,21.3779985635
2455944.74,133.141875,-0.6635,22.2711936348
2455961.82,133.141875,-0.6635,22.3786650414
2455964.81,133.141875,-0.6635,17.4373382533
2455968.82,133.141875,-0.6635,18.8440323741
2455972.77,133.141875,-0.6635,21.275005956
2455993.6,133.141875,-0.6635,18.5593059421
2455994.59,133.141875,-0.6635,18.0878746656
2455996.49,133.141875,-0.6635,16.0647446238
2455998.49,133.141875,-0.6635,16.3230249214
2455999.49,133.141875,-0.6635,16.7115136831
2456004.66,133.141875,-0.6635,22.6285137499
2456232.82,133.141875,-0.6635,19.3455583786
2456234.83,133.141875,-0.6635,19.6849765927
2455899.84,133.39779167,-0.61138889,22.6691991649
2455899.84,133.477125,-0.53944444,23.0513527663
2455900.8,133.39779167,-0.61138889,22.7595864952
2455900.8,133.477125,-0.53944444,22.9905432047
2455902.73,133.39779167,-0.61138889,19.8540949396
2455902.73,133.477125,-0.53944444,19.8708777394
2455904.73,133.39779167,-0.61138889,19.0704896727
2455904.73,133.477125,-0.53944444,19.0879021971
2455915.86,133.39779167,-0.61138889,20.2784984276
2455915.86,133.477125,-0.53944444,20.2722306777
2455917.83,133.39779167,-0.61138889,22.6512498324
2455917.83,133.477125,-0.53944444,22.6219829618
2455932.78,133.39779167,-0.61138889,20.5417803224
2455932.78,133.477125,-0.53944444,20.5975409995
2455943.71,133.39779167,-0.61138889,21.9446803393
2455943.71,133.477125,-0.53944444,22.1516118847
2455944.69,133.39779167,-0.61138889,22.7805662158
2455944.69,133.477125,-0.53944444,22.9136799596
2455956.86,133.39779167,-0.61138889,22.4509992337
2455956.86,133.477125,-0.53944444,22.5289830267
2455986.76,133.39779167,-0.61138889,22.6081990562
2455986.76,133.477125,-0.53944444,22.6822552235
2455993.51,133.39779167,-0.61138889,18.4074623621
2455993.51,133.477125,-0.53944444,18.4133195085
2455994.5,133.39779167,-0.61138889,18.0681621493
2455994.5,133.477125,-0.53944444,18.0648987573
2455995.51,133.39779167,-0.61138889,18.6386293872
2455995.51,133.477125,-0.53944444,18.645759873
2456000.78,133.39779167,-0.61138889,20.0771047086
2456000.78,133.477125,-0.53944444,20.0747431867
2456005.72,133.39779167,-0.61138889,22.6911044385
2456005.72,133.477125,-0.53944444,22.9779033653
2456008.59,133.39779167,-0.61138889,22.9085762387
2456008.59,133.477125,-0.53944444,22.9006799482
2456053.56,133.39779167,-0.61138889,18.3804690273
2456053.56,133.477125,-0.53944444,18.3830829994
2456232.83,133.39779167,-0.61138889,19.4076755353
2456232.83,133.477125,-0.53944444,19.4191150738
2455956.87,249.449125,-0.55141667,21.1986050226
2455960.87,249.449125,-0.55141667,22.4445845458
2455961.88,249.449125,-0.55141667,20.8130160167
2455985.87,249.449125,-0.55141667,22.3632387586
2455995.76,249.449125,-0.55141667,18.299251873
2455996.77,249.449125,-0.55141667,18.6216579028
2455998.89,249.449125,-0.55141667,19.6936314574
2456014.8,249.449125,-0.55141667,22.4742742031
2456019.9,249.449125,-0.55141667,22.5854056182
