,jd,RA,Decl,magsky
106,2456233.6,58.30516667,0.273,19.5421705073
107,2456233.6,58.33579167,0.27630556,19.5478921924
108,2455915.61,58.35683333,0.03891667,22.7510291332
109,2455934.57,58.35683333,0.03891667,18.9949543746
110,2455933.65,58.35683333,0.03891667,18.8494962445
111,2455878.74,58.708125,0.16905556,19.0911481064
112,2455878.74,58.71533333,0.08930556,19.0837429648
113,2455878.74,58.7655,0.05736111,19.0968189451
114,2455878.74,58.76945833,0.05216667,19.0962616374
115,2455879.73,58.708125,0.16905556,19.6374443392
116,2455879.73,58.71533333,0.08930556,19.6358128767
117,2455879.73,58.7655,0.05736111,19.6450903671
118,2455879.73,58.76945833,0.05216667,19.6458213963
119,2456230.62,58.708125,0.16905556,17.9316721074
120,2456230.62,58.71533333,0.08930556,17.9329097907
121,2456230.62,58.7655,0.05736111,17.9376171406
122,2456230.62,58.76945833,0.05216667,17.9376600707
123,2455895.72,58.93491667,0.11763889,22.5084064956
124,2455895.72,59.05558333,0.14638889,22.6358031835
125,2455896.72,58.93491667,0.11763889,22.4861894208
126,2455896.72,59.05558333,0.14638889,22.5775483536
127,2455992.57,58.93491667,0.11763889,18.9890655606
128,2455992.57,59.05558333,0.14638889,18.9852019691
129,2456233.71,58.93491667,0.11763889,19.2898281422
130,2456233.71,59.05558333,0.14638889,19.321052836
131,2455878.79,72.92666667,-0.16927778,18.9968846549
132,2455889.66,72.92666667,-0.16927778,22.2847764109
133,2455895.69,72.92666667,-0.16927778,22.3424624856
134,2455896.69,72.92666667,-0.16927778,22.2666245158
135,2455904.69,72.92666667,-0.16927778,18.6161947379
136,2455969.65,72.92666667,-0.16927778,19.8675830711
137,2456230.77,72.92666667,-0.16927778,18.51118837
138,2455867.81,73.24525,-0.24480556,22.5518791294
139,2455868.72,73.24525,-0.24480556,21.8147750519
140,2455871.84,73.24525,-0.24480556,22.5950973277
141,2455872.78,73.24525,-0.24480556,20.4873106072
142,2455879.75,73.24525,-0.24480556,19.5218663298
143,2455882.76,73.24525,-0.24480556,20.8716474846
144,2455883.79,73.24525,-0.24480556,21.1996374111
